county,state,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,release_date
Litchfield,Connecticut,189763,188972,187570,186836,185343,184122,182793,181667,181095,180333,20200301
Middlesex,Connecticut,165616,166174,165634,165329,164786,163724,163292,162942,162870,162436,20200301
New Haven,Connecticut,863357,863871,864566,862820,862885,860186,857901,857748,856971,854757,20200301
New London,Connecticut,274004,273037,274091,272976,271462,269636,268403,267419,266285,265206,20200301
Tolland,Connecticut,153239,153050,151967,151778,151693,151734,151162,151009,150689,150721,20200301
Windham,Connecticut,118544,118315,117914,117500,116752,116487,116102,116398,117059,116782,20200301
Kent,Delaware,162956,165110,167297,169038,171456,173128,174542,176499,178540,180786,20200301
New Castle,Delaware,538752,541909,544848,548331,550768,553488,555058,555976,557550,558753,20200301
Sussex,Delaware,197885,200362,203034,206207,210263,214636,219321,224348,229389,234225,20200301
District of Columbia,District of Columbia,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749,20200301
Alachua,Florida,247614,249834,251520,252475,255456,259052,263959,266309,268851,269043,20200301
Baker,Florida,27066,27049,27053,27009,27122,27355,27884,28254,28353,29210,20200301
Bay,Florida,169206,169555,171757,174596,178289,181488,183634,184736,186240,174705,20200301
Bradford,Florida,28536,28431,27051,26802,26552,26748,26740,27142,27752,28201,20200301
Brevard,Florida,543965,544359,546966,550255,555548,565746,576874,587769,595203,601942,20200301
Broward,Florida,1752803,1786980,1814253,1836600,1860933,1885040,1912583,1934516,1946107,1952778,20200301
Calhoun,Florida,14647,14717,14665,14578,14450,14406,14330,14428,14543,14105,20200301
Charlotte,Florida,159875,159869,162744,164671,168041,172382,177671,181522,184849,188910,20200301
Citrus,Florida,141173,139764,139180,138829,138828,140287,142804,145415,147682,149657,20200301
Clay,Florida,191451,192314,193861,195657,198570,202392,207246,212228,215908,219252,20200301
Collier,Florida,322581,327629,332233,338987,347211,356041,365445,372678,378201,384902,20200301
Columbia,Florida,67553,67317,67884,67417,67779,68222,69265,69999,70668,71686,20200301
DeSoto,Florida,34934,34845,35005,34905,35338,35648,36255,37241,37368,38001,20200301
Dixie,Florida,16400,16406,16153,16084,16041,16353,16465,16615,16685,16826,20200301
Duval,Florida,865628,872355,880108,885943,896668,910578,926010,937933,948652,957755,20200301
Escambia,Florida,298038,299401,303423,306694,307960,309311,311473,313249,315104,318316,20200301
Flagler,Florida,96066,97462,98434,99798,101889,104436,107406,109999,112085,115081,20200301
Franklin,Florida,11522,11472,11612,11521,11661,11707,11823,11724,11676,12125,20200301
Gadsden,Florida,47794,47373,46574,46087,46114,46060,46086,45993,45927,45660,20200301
Gilchrist,Florida,17000,16994,16897,16957,16991,17378,17622,17900,18284,18582,20200301
Glades,Florida,12869,12837,12669,12670,12943,13099,13406,13580,13686,13811,20200301
Gulf,Florida,15825,15764,15770,15884,16002,15929,16062,16105,16146,13639,20200301
Hamilton,Florida,14683,14595,14721,14342,14071,14272,14303,14364,14262,14428,20200301
Hardee,Florida,27730,27684,27439,27311,27266,27177,27219,27154,27168,26937,20200301
Hendry,Florida,39009,38972,37870,37809,38474,39248,40037,41018,41336,42022,20200301
Hernando,Florida,172969,172847,172718,173639,175298,177900,182459,186704,190582,193920,20200301
Highlands,Florida,98635,98477,98222,98077,98584,100137,102041,103852,104933,106221,20200301
Hillsborough,Florida,1233498,1255503,1279639,1304131,1332298,1364073,1396693,1426736,1451919,1471968,20200301
Holmes,Florida,19843,19838,19697,19594,19564,19273,19398,19427,19443,19617,20200301
Indian River,Florida,138270,139103,140473,141895,144445,147434,151159,154241,157187,159923,20200301
Jackson,Florida,49648,49197,49109,48880,48730,48609,48299,48289,48112,46414,20200301
Jefferson,Florida,14755,14529,14219,14209,14056,14115,13960,14165,14321,14246,20200301
Lafayette,Florida,8808,8798,8791,8819,8862,8724,8747,8602,8691,8422,20200301
Lake,Florida,297709,300505,303725,307973,315340,325154,334913,345432,356720,367118,20200301
Lee,Florida,620449,631053,644197,659834,677232,699644,722649,740000,754470,770577,20200301
Leon,Florida,275971,278371,283620,281887,283770,285904,286744,290965,291657,293582,20200301
Levy,Florida,40720,40151,39823,39433,39296,39601,39837,40276,40798,41503,20200301
Liberty,Florida,8349,8264,8301,8357,8418,8409,8300,8236,8427,8354,20200301
Madison,Florida,19248,19130,18972,18753,18601,18478,18316,18474,18540,18493,20200301
Manatee,Florida,323424,327549,333844,341855,350865,362548,375373,385506,394387,403253,20200301
Marion,Florida,331331,332286,333873,335083,338005,342182,347469,353339,359062,365579,20200301
Martin,Florida,146909,147871,148981,151126,153119,155559,158325,159701,160742,161000,20200301
Miami-Dade,Florida,2506972,2544531,2576554,2609692,2634269,2659839,2692213,2713295,2714854,2716940,20200301
Monroe,Florida,73220,73967,74560,75813,76261,76648,76872,76483,74757,74228,20200301
Nassau,Florida,73513,74148,74519,75384,76250,77951,80055,82925,85936,88625,20200301
Okaloosa,Florida,180715,183102,189762,192688,194615,197748,200071,203478,206934,210738,20200301
Okeechobee,Florida,40025,39869,39710,39482,39569,39854,40769,41275,41654,42168,20200301
Orange,Florida,1148564,1170579,1202498,1227435,1256606,1291301,1326516,1355921,1381540,1393452,20200301
Osceola,Florida,269837,278636,288876,299238,311046,323736,338209,353623,368456,375751,20200301
Palm Beach,Florida,1323619,1336760,1354936,1376462,1398656,1424256,1450890,1470344,1482876,1496770,20200301
Pasco,Florida,465487,466464,469637,474352,483399,494895,509937,525141,539090,553947,20200301
Pinellas,Florida,916412,918455,921642,928414,936400,947060,959874,968341,973058,974996,20200301
Polk,Florida,603102,609948,615453,622633,634398,648523,665823,685368,706597,724777,20200301
Putnam,Florida,74220,73652,72927,72370,71971,71939,72373,73384,74043,74521,20200301
St. Johns,Florida,191249,196106,202066,209439,217836,226362,234828,243693,253814,264672,20200301
St. Lucie,Florida,278264,280416,282931,285299,290045,297282,305566,313163,320425,328297,20200301
Santa Rosa,Florida,152908,155738,158190,160392,162668,166226,169894,174049,179295,184313,20200301
Sarasota,Florida,379930,382226,386437,389941,396363,404761,412968,419680,426329,433742,20200301
Seminole,Florida,423051,426334,430537,435503,441399,448318,455945,462801,468122,471826,20200301
Sumter,Florida,94278,97975,101669,106898,112236,117076,122009,124995,128719,132420,20200301
Suwannee,Florida,42328,43368,43534,43588,43786,43677,43834,44124,44179,44417,20200301
Taylor,Florida,22595,22662,22758,22873,22584,22355,22099,21781,21545,21569,20200301
Union,Florida,15542,15302,15255,15160,15258,15265,15238,15448,15328,15237,20200301
Volusia,Florida,494440,494464,496535,500438,506715,516730,528453,537868,546101,553284,20200301
Wakulla,Florida,30825,30973,30859,31004,31416,31523,31882,32050,32413,33739,20200301
Walton,Florida,55217,55602,57190,59193,61186,63066,65421,68021,70732,74071,20200301
Washington,Florida,24720,24510,24741,24504,24299,24552,24454,24546,24793,25473,20200301
Appling,Georgia,18334,18459,18385,18370,18472,18423,18428,18438,18526,18386,20200301
Atkinson,Georgia,8364,8360,8255,8264,8215,8340,8244,8182,8262,8165,20200301
Bacon,Georgia,11062,11145,11150,11173,11178,11231,11275,11205,11132,11164,20200301
Baker,Georgia,3431,3311,3372,3348,3288,3194,3183,3159,3086,3038,20200301
Baldwin,Georgia,45704,45175,46510,46178,45910,45549,45259,44963,44893,44890,20200301
Banks,Georgia,18410,18249,18131,18221,18226,18381,18325,18628,18972,19234,20200301
Barrow,Georgia,69676,69844,70135,71239,72849,74979,77000,78899,80834,83240,20200301
Bartow,Georgia,100050,100116,100240,100917,101233,102043,103338,105098,106378,107738,20200301
Ben Hill,Georgia,17645,17591,17601,17450,17449,17357,17251,17037,16822,16700,20200301
Berrien,Georgia,19361,19378,19160,19059,18813,18991,18996,19108,19266,19397,20200301
Bibb,Georgia,155814,156211,156606,155031,154329,153945,153152,152840,152903,153159,20200301
Bleckley,Georgia,13036,13082,12890,12744,12713,12714,12864,12764,12821,12873,20200301
Brantley,Georgia,18479,18561,18532,18257,18366,18437,18415,18832,18985,19109,20200301
Brooks,Georgia,16246,15982,15617,15649,15526,15670,15725,15617,15479,15457,20200301
Bryan,Georgia,30377,31267,32251,33034,33664,34792,35839,36999,38059,39627,20200301
Bulloch,Georgia,70559,72637,73102,71816,72651,73116,74642,75991,77242,79608,20200301
Burke,Georgia,23336,23506,23048,22824,22621,22632,22601,22545,22439,22383,20200301
Butts,Georgia,23786,23609,23438,23218,23341,23520,23736,24067,24192,24936,20200301
Calhoun,Georgia,6697,6625,6565,6596,6506,6534,6359,6389,6353,6189,20200301
Camden,Georgia,50661,50303,51351,51404,51909,52439,52394,53005,53651,54666,20200301
Candler,Georgia,11025,11209,11102,10960,10865,10873,10849,10706,10827,10803,20200301
Carroll,Georgia,110655,110728,111412,112265,113933,114461,116077,117390,117997,119992,20200301
Catoosa,Georgia,64069,64753,64864,65221,65467,65778,66265,66495,67380,67580,20200301
Charlton,Georgia,12853,13455,13348,13107,13051,13239,12842,12810,12919,13392,20200301
Chatham,Georgia,265799,271623,276164,277650,282201,285959,288615,289309,289166,289430,20200301
Chattahoochee,Georgia,11182,11257,12265,12245,11696,11042,10047,10205,10600,10907,20200301
Chattooga,Georgia,25959,25685,25627,25049,24861,24905,24836,24746,24782,24789,20200301
Cherokee,Georgia,215197,217732,220643,224314,230167,235329,241795,247763,253914,258773,20200301
Clarke,Georgia,117403,118229,119891,120888,120386,123561,124905,126815,127268,128331,20200301
Clay,Georgia,3177,3162,3106,3015,3072,3077,3005,2955,2884,2834,20200301
Clayton,Georgia,259877,262031,265294,264015,266629,272720,279333,284184,289197,292256,20200301
Clinch,Georgia,6764,6718,6690,6758,6781,6826,6742,6643,6603,6618,20200301
Cobb,Georgia,689495,696507,706322,716017,727543,739052,748178,752649,756070,760141,20200301
Coffee,Georgia,42728,42996,43124,43078,42884,42987,42908,42880,43055,43273,20200301
Colquitt,Georgia,45634,45772,46013,46126,45864,45466,45429,45480,45455,45600,20200301
Columbia,Georgia,124955,128804,132541,136141,139104,143837,147370,151529,154077,156714,20200301
Cook,Georgia,17185,17033,16904,17051,17297,17070,17162,17213,17171,17270,20200301
Coweta,Georgia,127937,129374,130593,132944,135140,138145,140497,143153,145998,148509,20200301
Crawford,Georgia,12587,12585,12579,12483,12401,12354,12268,12263,12334,12404,20200301
Crisp,Georgia,23433,23753,23589,23298,23061,22959,22905,22710,22617,22372,20200301
Dade,Georgia,16630,16600,16518,16453,16289,16162,16224,16254,16227,16116,20200301
Dawson,Georgia,22328,22340,22513,22732,23022,23369,23668,24406,25127,26108,20200301
Decatur,Georgia,27817,27651,27442,27391,27167,27049,26679,26706,26573,26404,20200301
DeKalb,Georgia,692443,698329,710557,717740,724892,734434,746802,751176,754906,759297,20200301
Dodge,Georgia,21761,21614,21517,21429,21173,21142,20854,20749,20793,20605,20200301
Dooly,Georgia,14854,14612,14415,14372,14246,14034,13853,13691,13709,13390,20200301
Dougherty,Georgia,94513,95063,94694,93411,92742,91513,90389,89457,89200,87956,20200301
Douglas,Georgia,132573,133106,133555,136024,138007,140173,141664,143376,145024,146343,20200301
Early,Georgia,10983,10790,10640,10540,10450,10462,10306,10317,10286,10190,20200301
Echols,Georgia,4015,4064,3967,3993,4032,4030,3956,3914,4000,4006,20200301
Effingham,Georgia,52464,52692,53330,54419,55410,57076,58699,60086,62228,64296,20200301
Elbert,Georgia,20100,19820,19576,19490,19387,19302,19136,19102,19095,19194,20200301
Emanuel,Georgia,22607,22492,22732,22631,22482,22471,22406,22533,22607,22646,20200301
Evans,Georgia,11021,10980,10678,10794,10811,10690,10648,10741,10702,10654,20200301
Fannin,Georgia,23685,23648,23615,23831,23863,24442,25032,25332,25981,26188,20200301
Fayette,Georgia,106938,107156,107315,108054,109199,110141,111218,112553,113181,114421,20200301
Floyd,Georgia,96431,96161,95940,95880,95868,96186,96698,97500,97964,98498,20200301
Forsyth,Georgia,176723,181794,186793,193801,202598,211250,220481,228940,236993,244252,20200301
Franklin,Georgia,22074,21972,21916,22045,22175,22267,22316,22864,23034,23349,20200301
Fulton,Georgia,925632,947469,973221,981472,991847,1005127,1022866,1038938,1050131,1063937,20200301
Gilmer,Georgia,28339,28325,28288,28717,28994,29514,29911,30443,30835,31369,20200301
Glascock,Georgia,3079,3103,3107,3060,3008,3020,2978,3032,2977,2971,20200301
Glynn,Georgia,79744,80111,80866,81497,82177,83311,84099,84675,84975,85292,20200301
Gordon,Georgia,55257,55520,55687,55761,55836,56324,56933,57164,57628,57963,20200301
Grady,Georgia,25021,25097,25270,25101,25215,25089,24869,24773,24774,24633,20200301
Greene,Georgia,15976,16050,16118,16243,16418,16617,16869,17203,17733,18324,20200301
Gwinnett,Georgia,808007,822415,836844,853459,870986,888494,904962,918186,927337,936250,20200301
Habersham,Georgia,43061,43043,43377,43154,43564,43792,44104,44535,45373,45328,20200301
Hall,Georgia,180033,182269,184102,186431,189142,192245,196159,198953,201538,204441,20200301
Hancock,Georgia,9433,9395,9079,8952,8571,8578,8633,8539,8368,8457,20200301
Haralson,Georgia,28758,28465,28310,28335,28487,28702,28830,29248,29561,29792,20200301
Harris,Georgia,32149,32307,32570,32532,32737,33155,33633,33943,34560,35236,20200301
Hart,Georgia,25240,25417,25513,25456,25362,25410,25471,25710,26071,26205,20200301
Heard,Georgia,11841,11731,11652,11564,11623,11556,11579,11751,11871,11923,20200301
Henry,Georgia,205039,206911,208005,210012,212957,216414,220896,225182,229728,234561,20200301
Houston,Georgia,140651,143775,145827,147527,148575,149323,151622,153202,155523,157863,20200301
Irwin,Georgia,9577,9676,9597,9345,9078,9135,9302,9352,9396,9416,20200301
Jackson,Georgia,60696,60974,60844,61268,62101,63418,65061,67644,70325,72977,20200301
Jasper,Georgia,13889,13832,13640,13597,13531,13683,13767,13882,14029,14219,20200301
Jeff Davis,Georgia,15111,15158,15192,15042,14927,15013,14965,15039,15048,15115,20200301
Jefferson,Georgia,16869,16769,16347,16240,16119,15917,15755,15630,15424,15362,20200301
Jenkins,Georgia,8320,8125,9108,9194,9034,8899,8812,8813,8765,8676,20200301
Johnson,Georgia,9986,9999,10004,9900,9803,9708,9660,9737,9706,9643,20200301
Jones,Georgia,28646,28740,28624,28576,28652,28441,28574,28466,28680,28735,20200301
Lamar,Georgia,18265,18160,18030,17929,18189,18236,18484,18600,18961,19077,20200301
Lanier,Georgia,10104,10482,10466,10412,10369,10269,10430,10425,10355,10423,20200301
Laurens,Georgia,48384,47891,47842,47733,47569,47486,47279,47376,47336,47546,20200301
Lee,Georgia,28414,28578,28708,29039,29122,29173,29184,29410,29751,29992,20200301
Liberty,Georgia,62765,65179,64412,62341,64091,61611,61473,61619,60606,61435,20200301
Lincoln,Georgia,7970,7872,7764,7734,7644,7722,7855,7856,7925,7921,20200301
Long,Georgia,14574,15088,15994,16484,17029,17658,18372,18780,19091,19559,20200301
Lowndes,Georgia,109689,111479,114071,112883,113506,113342,114360,115404,116309,117406,20200301
Lumpkin,Georgia,30282,30457,30686,30873,31120,31285,31415,32801,32899,33610,20200301
McDuffie,Georgia,21803,21614,21630,21499,21524,21462,21456,21511,21532,21312,20200301
McIntosh,Georgia,14311,14223,13883,14027,14064,14031,14057,14080,14322,14378,20200301
Macon,Georgia,14645,14454,14301,13976,13819,13688,13478,13254,13160,12947,20200301
Madison,Georgia,28212,28174,28070,28202,28362,28419,28856,29295,29642,29880,20200301
Marion,Georgia,8741,8701,8672,8580,8632,8558,8468,8403,8373,8359,20200301
Meriwether,Georgia,21818,21598,21335,21217,21208,21173,21074,21021,21094,21167,20200301
Miller,Georgia,6133,6071,6004,5899,5944,5848,5874,5813,5684,5718,20200301
Mitchell,Georgia,23502,23400,23086,22992,22715,22449,22455,22317,22135,21863,20200301
Monroe,Georgia,26179,26344,26373,26619,26667,26708,26905,27163,27503,27578,20200301
Montgomery,Georgia,9144,9030,8887,8957,8982,8942,8985,9024,9168,9172,20200301
Morgan,Georgia,17901,17907,17809,17682,17896,17948,18107,18373,18831,19276,20200301
Murray,Georgia,39533,39365,39311,39178,39215,39430,39347,39803,39943,40096,20200301
Muscogee,Georgia,191101,195271,198965,203225,200563,198702,196219,193836,194169,195769,20200301
Newton,Georgia,100133,100444,100956,102040,103441,104884,106499,107846,109421,111744,20200301
Oconee,Georgia,32925,33264,33514,34077,35072,35853,36929,38122,39478,40280,20200301
Oglethorpe,Georgia,14899,14708,14509,14423,14541,14732,14712,14874,15080,15259,20200301
Paulding,Georgia,142837,143606,144738,146753,148532,151649,155246,159509,164053,168667,20200301
Peach,Georgia,27857,27786,27765,27162,27142,26970,26885,26961,27363,27546,20200301
Pickens,Georgia,29436,29390,29260,29387,29807,30136,30652,31541,32014,32591,20200301
Pierce,Georgia,18815,18774,18905,19017,19010,19094,19104,19197,19388,19465,20200301
Pike,Georgia,17922,17785,17770,17774,17765,17925,17897,18204,18647,18962,20200301
Polk,Georgia,41547,41281,41101,40977,40879,41207,41555,41818,42346,42613,20200301
Pulaski,Georgia,11969,11839,11699,11563,11509,11395,11288,11181,11080,11137,20200301
Putnam,Georgia,21191,21240,21133,21280,21143,21307,21515,21692,21820,22119,20200301
Quitman,Georgia,2512,2453,2406,2367,2285,2275,2320,2333,2260,2299,20200301
Rabun,Georgia,16277,16257,16304,16184,16158,16223,16465,16545,16857,17137,20200301
Randolph,Georgia,7668,7567,7308,7201,7314,7150,7155,6969,6812,6778,20200301
Richmond,Georgia,201115,200568,201742,201335,201287,201451,201949,201673,201667,202518,20200301
Rockdale,Georgia,85354,85409,85427,86480,87164,88354,88987,89843,90505,90896,20200301
Schley,Georgia,5020,5044,5024,5095,5189,5209,5173,5235,5230,5257,20200301
Screven,Georgia,14501,14405,14168,14145,14002,14059,14003,13956,13960,13966,20200301
Seminole,Georgia,8727,8767,8871,8848,8603,8565,8427,8253,8270,8090,20200301
Spalding,Georgia,64096,64044,63691,63508,63692,63818,64546,65358,66107,66703,20200301
Stephens,Georgia,26117,25750,25703,25551,25406,25446,25637,25736,26007,25925,20200301
